time,price,nav
2019-09-09,974.12,40122.3
2019-09-10,970.26,40003.62
2019-09-11,969.31,39731.68
2019-09-12,976.07,39870.88
2019-09-13,987.22,40286.62
2019-09-16,989.86,40877.4
2019-09-17,996.74,41095.67
2019-09-18,995.15,41309.64
2019-09-19,997.1,41216.85
2019-09-20,990.36,41450.22
2019-09-23,985.75,41340.85
2019-09-24,988.13,41015.01
2019-09-25,987.3,40994.2
2019-09-26,990.75,41171.17
2019-09-27,997.84,41321.76
2019-09-30,996.56,41637.65
2019-10-01,999.59,41447.91
2019-10-02,991.19,41675.79
2019-10-03,992.45,41391.0
2019-10-04,987.59,41450.97
2019-10-07,983.09,41171.16
2019-10-08,988.22,40813.61
2019-10-09,987.83,41106.14
2019-10-10,987.38,41156.04
2019-10-11,991.84,41190.88
2019-10-14,993.57,41260.08
2019-10-15,993.05,41445.39
2019-10-16,994.46,41466.18
2019-10-17,989.82,41520.9
2019-10-18,989.2,41348.35
2019-10-21,983.56,41346.19
2019-10-22,987.19,41096.18
2019-10-23,987.79,41253.0
2019-10-24,993.6,41284.19
2019-10-25,996.57,41736.73
2019-10-28,996.48,41821.2
2019-10-29,995.87,41822.9
2019-10-30,1000.89,41693.83
2019-10-31,998.82,41696.79
2019-11-01,1015.59,41652.06
2019-11-04,1022.43,42018.45
2019-11-05,1024.34,42457.29
2019-11-06,1024.91,42482.5
2019-11-07,1024.03,42482.78
2019-11-08,1022.49,42537.25
2019-11-11,1016.75,42469.08
2019-11-12,1018.33,42280.6
2019-11-13,1012.77,42361.57
2019-11-14,1012.3,42133.43
2019-11-15,1010.03,41834.88
2019-11-18,1002.91,41836.13
2019-11-19,1008.35,41510.34
2019-11-20,1000.56,41820.02
2019-11-21,987.89,41524.38
2019-11-22,977.78,41048.53
2019-11-25,976.35,40634.89
2019-11-26,976.79,40606.14
2019-11-27,978.17,40756.71
2019-11-28,970.39,40760.02
2019-11-29,970.75,40279.89
2019-12-02,959.31,40318.7
2019-12-03,953.43,39782.44
2019-12-04,965.9,39660.26
2019-12-05,963.27,40266.69
2019-12-06,963.56,40057.68
2019-12-09,966.06,40075.07
2019-12-10,960.3,40112.66
2019-12-11,961.78,40006.63
2019-12-12,968.17,40237.39
2019-12-13,966.18,40475.31
2019-12-16,961.47,40489.24
2019-12-17,954.03,40466.69
2019-12-18,951.13,40109.75
2019-12-19,952.26,39930.29
2019-12-20,956.41,40001.51
2019-12-23,959.43,40202.71
2019-12-24,958.88,40383.69
2019-12-25,960.92,40386.48
2019-12-26,958.59,40623.84
2019-12-27,963.51,40532.94
2019-12-30,965.03,40746.54
2019-12-31,960.99,40895.76
2020-01-02,966.67,40749.71
2020-01-03,965.14,41030.86
2020-01-06,955.79,40870.29
2020-01-07,958.88,40467.56
2020-01-08,948.98,40692.84
2020-01-09,960.15,40209.64
